"","Model"
"1250","DHC-6 Twin Otter"
"1251","DHC-6 Twin Otter 100"
"1252","DHC-6 Twin Otter 200"
"1253","DHC-6 Twin Otter 300"
"1254","DHC-6 Twin Otter 310"
"1255","DHC-6 Twin Otter 320"
"1256","DHC-6 Vista Liner 300"
"1257","DHC-7-102"
"1258","DHC-7-102 (O-5A)"
"1259","DHC-7-103"
"1260","DHC-8-101"
"1261","DHC-8-102"
"1262","DHC-8-103"
"1263","DHC-8-103B"
"1264","DHC-8-106"
"1265","DHC-8-110"
"1266","DHC-8-202"
"1267","DHC-8-202Q"
"1268","DHC-8-202Q Dash 8"
"1269","DHC-8-300"
"1270","DHC-8-301"
"1271","DHC-8-301 Dash 8"
"1272","DHC-8-311"
"1273","DHC-8-311Q"
"1274","DHC-8-311Q Dash 8"
"1275","DHC-8-315 Dash 8"
"1276","DHC-8-315 Q300"
"1277","DHC-8-315Q Dash 8"
"1278","DHC-8-315Q MPA"
"1279","DHC-8-401 Q400"
"1280","DHC-8-402 Q400"
"1281","DHC-8-402Q Dash 8"
"1282","Dornier 228-100"
"1283","Dornier 228-101"
"1284","Dornier 228-201"
"1285","Dornier 228-202"
"1286","Dornier 228-202K"
"1287","Dornier 228-212"
"1288","Dornier 228-212K"
"1289","Dornier 328-100"
"1290","Dornier 328-110"
"1291","Dornier 328-120"
"1292","Dornier 328JET-300"
"1293","Dornier 328JET-310"
"1294","Dornier Do 128-2 Skyservant"
"1295","Dornier Do 128-6 Turbo Skyservant"
"1296","Dornier Do 28D-1 Skyservant"
"1297","Dornier Do 28D-2 Skyservant"
"1298","Dornier Do R4 Superwal"
"1299","Douglas AC-47D Spooky"
"1300","Douglas C-117B (DC-3)"
"1301","Douglas C-117D Super DC-3"
"1302","Douglas C-118A (DC-6)"
"1303","Douglas C-118A Liftmaster (DC-6A)"
"1304","Douglas C-124A Globemaster II"
"1305","Douglas C-124A-DL Globemaster II"
"1306","Douglas C-124C Globemaster II"
"1307","Douglas C-133A Cargomaster"
"1308","Douglas C-133A-30-DL Cargomaster"
"1309","Douglas C-133B-DL Cargomaster"
"1310","Douglas C-33 (DC-2)"
"1311","Douglas C-39 (DC-2)"
"1312","Douglas C-47 (DC-3)"
"1313","Douglas C-47 (VC-117B) (DC-3)"
"1314","Douglas C-47 Dakota IV"
"1315","Douglas C-47A (DC-3)"
"1316","Douglas C-47B (DC-3)"
"1317","Douglas C-47D"
"1318","Douglas C-47D (DC-3)"
"1319","Douglas C-47E (DC-3)"
"1320","Douglas C-47J (DC-3)"
"1321","Douglas C-48 (DC-3)"
"1322","Douglas C-48A (DC-3C )"
"1323","Douglas C-48B (DC-3)"
"1324","Douglas C-48C (DC-3)"
"1325","Douglas C-49-DO (DC-3)"
"1326","Douglas C-49E (DC-3)"
"1327","Douglas C-49E (DC-3DST-144)"
"1328","Douglas C-49G (DC-3)"
"1329","Douglas C-49G-DO"
"1330","Douglas C-49G-DO (DC-3)"
"1331","Douglas C-49H"
"1332","Douglas C-49J"
"1333","Douglas C-49J (DC-3-454)"
"1334","Douglas C-49J (DC-3)"
"1335","Douglas C-49J-DO (DC-3-454)"
"1336","Douglas C-49K (DC-3)"
"1337","Douglas C-50A (DC-3-401)"
"1338","Douglas C-50A-DO (DC-3)"
"1339","Douglas C-50C"
"1340","Douglas C-53"
"1341","Douglas C-53 (DC-3)"
"1342","Douglas C-53 Skytrooper (DC-3)"
"1343","Douglas C-53-DO (DC-3)"
"1344","Douglas C-53B (DC-3)"
"1345","Douglas C-53C (DC-3)"
"1346","Douglas C-53D Skytrooper (DC-3)"
"1347","Douglas C-53D-DO (DC-3)"
"1348","Douglas C-54 (DC-4)"
"1349","Douglas C-54A (DC-4)"
"1350","Douglas C-54B (DC-4)"
"1351","Douglas C-54D (DC-4)"
"1352","Douglas C-54E (DC-4)"
"1353","Douglas C-54G (DC-4)"
"1354","Douglas C-54P (DC-4)"
"1355","Douglas C-54Q (DC-4)"
"1356","Douglas C-54Q Skymaster (DC-4)"
"1357","Douglas C-54R (DC-4)"
"1358","Douglas C-54S (DC-4)"
"1359","Douglas C-74 Globemaster I"
"1360","Douglas CC-129 Dakota (DC-3)"
"1361","Douglas Dakota C.3 (DC-3)"
"1362","Douglas Dakota I (DC-3)"
"1363","Douglas Dakota III (DC-3)"
"1364","Douglas Dakota IV (DC-3)"
"1365","Douglas DC-1-109"
"1366","Douglas DC-2-112"
"1367","Douglas DC-2-115B"
"1368","Douglas DC-2-115D"
"1369","Douglas DC-2-115E"
"1370","Douglas DC-2-115F"
"1371","Douglas DC-2-115K"
"1372","Douglas DC-2-115L"
"1373","Douglas DC-2-115M"
"1374","Douglas DC-2-118B"
"1375","Douglas DC-2-120"
"1376","Douglas DC-2-152"
"1377","Douglas DC-2-171"
"1378","Douglas DC-2-192"
"1379","Douglas DC-2-210"
"1380","Douglas DC-2-211"
"1381","Douglas DC-2-221"
"1382","Douglas DC-3"
"1383","Douglas DC-3 (R4D-1)"
"1384","Douglas DC-3 (Showa L2D)"
"1385","Douglas DC-3 Hiper"
"1386","Douglas DC-3-178"
"1387","Douglas DC-3-191A"
"1388","Douglas DC-3-194B"
"1389","Douglas DC-3-194C"
"1390","Douglas DC-3-194D"
"1391","Douglas DC-3-194F"
"1392","Douglas DC-3-194H"
"1393","Douglas DC-3-196"
"1394","Douglas DC-3-196A"
"1395","Douglas DC-3-197"
"1396","Douglas DC-3-201"
"1397","Douglas DC-3-201B"
"1398","Douglas DC-3-201C"
"1399","Douglas DC-3-201D"
"1400","Douglas DC-3-201E"
"1401","Douglas DC-3-201F"
"1402","Douglas DC-3-201G"
"1403","Douglas DC-3-208"
"1404","Douglas DC-3-208A"
"1405","Douglas DC-3-209"
"1406","Douglas DC-3-209A"
"1407","Douglas DC-3-216"
"1408","Douglas DC-3-220A"
"1409","Douglas DC-3-220B"
"1410","Douglas DC-3-227"
"1411","Douglas DC-3-227B"
"1412","Douglas DC-3-229"
"1413","Douglas DC-3-232"
"1414","Douglas DC-3-232A"
"1415","Douglas DC-3-268"
"1416","Douglas DC-3-268B"
"1417","Douglas DC-3-270"
"1418","Douglas DC-3-270B"
"1419","Douglas DC-3-277"
"1420","Douglas DC-3-277B"
"1421","Douglas DC-3-277C"
"1422","Douglas DC-3-313"
"1423","Douglas DC-3-313A"
"1424","Douglas DC-3-313D"
"1425","Douglas DC-3-314"
"1426","Douglas DC-3-322"
"1427","Douglas DC-3-382"
"1428","Douglas DC-3-392"
"1429","Douglas DC-3-454"
"1430","Douglas DC-3-455"
"1431","Douglas DC-3A"
"1432","Douglas DC-3A-191"
"1433","Douglas DC-3A-197"
"1434","Douglas DC-3A-197B"
"1435","Douglas DC-3A-197C"
"1436","Douglas DC-3A-197D"
"1437","Douglas DC-3A-228C"
"1438","Douglas DC-3A-228D"
"1439","Douglas DC-3A-228F"
"1440","Douglas DC-3A-269"
"1441","Douglas DC-3A-367"
"1442","Douglas DC-3A-399"
"1443","Douglas DC-3A-408"
"1444","Douglas DC-3A-414"
"1445","Douglas DC-3A-414A"
"1446","Douglas DC-3A-447"
"1447","Douglas DC-3A-453"
"1448","Douglas DC-3A-S1C3G"
"1449","Douglas DC-3B-202"
"1450","Douglas DC-3B-202A"
"1451","Douglas DC-3C"
"1452","Douglas DC-3D"
"1453","Douglas DC-3F"
"1454","Douglas DC-3S"
"1455","Douglas DC-4"
"1456","Douglas DC-4 (C-54A-15-DC)"
"1457","Douglas DC-4-1009"
"1458","Douglas DC-5-511"
"1459","Douglas DC-6"
"1460","Douglas DC-6A"
"1461","Douglas DC-6A/B"
"1462","Douglas DC-6B"
"1463","Douglas DC-6BF"
"1464","Douglas DC-7"
"1465","Douglas DC-7B"
"1466","Douglas DC-7C"
"1467","Douglas DC-7CF"
"1468","Douglas DC-8-11"
"1469","Douglas DC-8-12"
"1470","Douglas DC-8-21"
"1471","Douglas DC-8-31"
"1472","Douglas DC-8-32"
"1473","Douglas DC-8-33"
"1474","Douglas DC-8-33F"
"1475","Douglas DC-8-43"
"1476","Douglas DC-8-51"
"1477","Douglas DC-8-52"
"1478","Douglas DC-8-52F"
"1479","Douglas DC-8-53"
"1480","Douglas DC-8-54F"
"1481","Douglas DC-8-55"
"1482","Douglas DC-8-55F"
"1483","Douglas DC-9-14"
"1484","Douglas DC-9-15"
"1485","Douglas DC-9-15F"
"1486","Douglas DST-144 (DC-3)"
"1487","Douglas DST-318 (DC-3)"
"1488","Douglas DST-318A (DC-3)"
"1489","Douglas DST-A-207A (DC-3)"
"1490","Douglas DST-A-217A (DC-3)"
"1491","Douglas EC-47A"
"1492","Douglas EC-47P"
"1493","Douglas EC-47Q"
"1494","Douglas EC-54U (DC-4)"
"1495","Douglas HC-54D (DC-4)"
"1496","Douglas LC-47A (DC-3)"
"1497","Douglas LC-47H"
"1498","Douglas LC-47J"
"1499","Douglas MC-54M (DC-4)"
"1500","Douglas R2D-1 (DC-2)"
"1501","Douglas R3D-2 (DC-5)"
"1502","Douglas R4D-1 (DC-3)"
"1503","Douglas R4D-2 (DC-3)"
"1504","Douglas R4D-3 (DC-3)"
"1505","Douglas R4D-5 (DC-3)"
"1506","Douglas R4D-6 (DC-3)"
"1507","Douglas R4D-7 (DC-3)"
"1508","Douglas R4D-8 (Super DC-3)"
"1509","Douglas R4D-8L (Super DC-3)"
"1510","Douglas R5D-1 (DC-4)"
"1511","Douglas R5D-2 (C-54B)"
"1512","Douglas R5D-2 (DC-4)"
"1513","Douglas R5D-3 (C-54D)"
"1514","Douglas R5D-3 (DC-4)"
"1515","Douglas R6D-1 (DC-6)"
"1516","Douglas RC-47P"
"1517","Douglas RC-54V (DC-4)"
"1518","Douglas SC-47D"
"1519","Douglas SC-47D (DC-3)"
"1520","Douglas SC-54G (DC-4)"
"1521","Douglas Super R4D-8 (DC-3S)"
"1522","Douglas TC-47B (DC-3)"
"1523","Douglas TC-47K (DC-3)"
"1524","Douglas TS-62 (DC-3)"
"1525","Douglas VC-47A (DC-3)"
"1526","Douglas VC-47D (DC-3)"
"1527","Douglas YC-112A-DO (DC-6)"
"1528","Eclipse 500"
"1529","Embraer C-95 Bandeirante (EMB-110)"
"1530","Embraer C-95A Bandeirante (EMB-110K"
"1531","Embraer C-95B Bandeirante (EMB-110)"
"1532","Embraer C-95BM Bandeirante (EMB-110"
"1533","Embraer EMB-110 Bandeirante"
"1534","Embraer EMB-110C Bandeirante"
"1535","Embraer EMB-110EJ Bandeirante"
"1536","Embraer EMB-110P Bandeirante"
"1537","Embraer EMB-110P1 Bandeirante"
"1538","Embraer EMB-110P1A Bandeirante"
"1539","Embraer EMB-110P2 Bandeirante"
"1540","Embraer EMB-120ER Brasilia"
"1541","Embraer EMB-120RT Brasilia"
"1542","Embraer EMB-135BJ Legacy 600"
"1543","Embraer EMB-135LR (ERJ-135LR)"
"1544","Embraer EMB-145EP (ERJ-145EP)"
"1545","Embraer EMB-145ER (ERJ-145ER)"
"1546","Embraer EMB-145LI (ERJ-145LI)"
"1547","Embraer EMB-145LR (ERJ-145LR)"
"1548","Embraer EMB-145LU (ERJ-145LU)"
"1549","Embraer EMB-145MP (ERJ-145MP)"
"1550","Embraer EMB-550 Legacy 500"
"1551","Embraer ERJ-140 (ERJ-135KL)"
"1552","Embraer ERJ-145MP"
"1553","Embraer ERJ-170"
"1554","Embraer ERJ-175"
"1555","Embraer ERJ-190"
"1556","Embraer ERJ-190AR"
"1557","Embraer ERJ-195"
"1558","Embraer KC-390"
"1559","Embraer P-95B Bandeirulha (EMB-111)"
"1560","Embraer Phenom 100"
"1561","Embraer Phenom 300"
"1562","Excel-Jet Sport-Jet"
"1563","Fairchild C-119 Flying Boxcar"
"1564","Fairchild C-119B Flying Boxcar"
"1565","Fairchild C-119C Flying Boxcar"
"1566","Fairchild C-119F-FA Flying Boxcar"
"1567","Fairchild C-119G Flying Boxcar"
"1568","Fairchild C-119L Flying Boxcar"
"1569","Fairchild C-123B Provider"
"1570","Fairchild C-123J Provider"
"1571","Fairchild C-123K Provider"
"1572","Fairchild C-82A Packet"
"1573","Fairchild CC-119"
"1574","Fairchild F-27"
"1575","Fairchild F-27A"
"1576","Fairchild F-27B"
"1577","Fairchild F-27F"
"1578","Fairchild F-27J"
"1579","Fairchild F-27M"
"1580","Fairchild FH-227"
"1581","Fairchild FH-227B"
"1582","Fairchild FH-227C"
"1583","Fairchild FH-227D"
"1584","Fairchild FH-227E"
"1585","Fairchild R4Q-1 Flying Boxcar (C-11"
"1586","Fairchild R4Q-1 Packet (C-119C)"
"1587","Fairchild R4Q-2 Packet (C-119F)"
"1588","Fairchild UC-123B Provider"
"1589","Farman F.180T"
"1590","Farman F.60 Goliath"
"1591","Farman F.61 Goliath"
"1592","Farman F.63bis Goliath"
"1593","Fiat G.18V"
"1594","Fiat G.212CP"
"1595","Fiat G.212PW"
"1596","FMA IA 50 Guaraní II"
"1597","Focke-Wulf Fw 200A-0"
"1598","Focke-Wulf Fw 200C-4"
"1599","Fokker 100"
"1600","Fokker 50"
"1601","Fokker 50?"
"1602","Fokker 70"
"1603","Fokker F-27 Friendship"
"1604","Fokker F-27 Friendship 100"
"1605","Fokker F-27 Friendship 200"
"1606","Fokker F-27 Friendship 200MAR"
"1607","Fokker F-27 Friendship 300"
"1608","Fokker F-27 Friendship 400M"
"1609","Fokker F-27 Friendship 500"
"1610","Fokker F-27 Friendship 500CRF"
"1611","Fokker F-27 Friendship 500F"
"1612","Fokker F-27 Friendship 500RF"
"1613","Fokker F-27 Friendship 600"
"1614","Fokker F-27 Friendship 600RF"
"1615","Fokker F-28 Fellowship"
"1616","Fokker F-28 Fellowship 1000"
"1617","Fokker F-28 Fellowship 2000"
"1618","Fokker F-28 Fellowship 3000"
"1619","Fokker F-28 Fellowship 3000R"
"1620","Fokker F-28 Fellowship 3000RC"
"1621","Fokker F-28 Fellowship 4000"
"1622","Fokker F.VIII"
"1623","Fokker F.VIIIa"
"1624","Ford 4-AT-.  Tri-Motor"
"1625","Ford 4-AT-B Tri-Motor"
"1626","Ford 4-AT-E Tri-Motor"
"1627","Ford 5-AT Tri-Motor"
"1628","Ford 5-AT-A Tri-Motor"
"1629","Ford 5-AT-B Tri-Motor"
"1630","Ford 5-AT-C Tri-Motor"
"1631","Ford 5-AT-D Tri-Motor"
"1632","Ford 6-AT-AS Tri-Motor"
"1633","Ford Tri-Motor"
"1634","GAF Nomad N.22"
"1635","GAF Nomad N.22B"
"1636","GAF Nomad N.22BFP"
"1637","GAF Nomad N.22C"
"1638","GAF Nomad N.22S Searchmaster L"
"1639","GAF Nomad N.24"
"1640","GAF Nomad N.24A"
"1641","Grob G.180A SPn"
"1642","Grumman American G-1159 Gulfstream"
"1643","Grumman C-2A Greyhound"
"1644","Grumman G-111 Albatross"
"1645","Grumman G-1159 Gulfstream II"
"1646","Grumman G-1159 Gulfstream II SP"
"1647","Grumman G-159 Gulfstream I"
"1648","Grumman G-73 Mallard"
"1649","Grumman G-73T Turbo Mallard"
"1650","Grumman HU-16A Albatross"
"1651","Grumman HU-16B Albatross"
"1652","Grumman HU-16E Albatross"
"1653","Gulfstream Aerospace G-1159A Gulfst"
"1654","Gulfstream American G-1159 Gulfstre"
"1655","Gulfstream G-IV"
"1656","Gulfstream G-V"
"1657","Gulfstream G150"
"1658","Gulfstream G200"
"1659","Gulfstream G200 Galaxy"
"1660","Gulfstream G450"
"1661","Gulfstream G550"
"1662","Gulfstream G650"
"1663","Gulfstream G650ER"
"1664","Gulfstream GV-SP (G550)"
"1665","Gulfstream III"
"1666","HAL-748"
"1667","HAL/Dornier 228-101"
"1668","HAL/Dornier 228-201"
"1669","Handley Page Hastings"
"1670","Handley Page Hastings C.1"
"1671","Handley Page Hastings C.1A"
"1672","Handley Page Hastings C.2"
"1673","Handley Page HP-137 Jetstream 1"
"1674","Handley Page HP-137 Jetstream III"
"1675","Handley Page HP-137 Jetstream T.2"
"1676","Handley Page HP.42E"
"1677","Handley Page HP.42W"
"1678","Handley Page HP.68 Hermes 1"
"1679","Handley Page HP.81 Hermes IV"
"1680","Handley Page HP.81 Hermes IVA"
"1681","Handley Page HP.82 Hermes V"
"1682","Handley Page HPR-7 Herald 101"
"1683","Handley Page HPR-7 Herald 201"
"1684","Handley Page HPR-7 Herald 202"
"1685","Handley Page HPR-7 Herald 203"
"1686","Handley Page HPR-7 Herald 207"
"1687","Handley Page HPR-7 Herald 214"
"1688","Handley Page HPR-7 Herald 401"
"1689","Handley Page HPR.1 Marathon 1A"
"1690","Handley Page Jetstream T.1"
"1691","Handley Page Marathon T.2"
"1692","Handley Page O/400"
"1693","Handley Page O/7"
"1694","Handley Page W.10"
"1695","Handley Page W.8g"
"1696","Harbin Yunshuji Y-12"
"1697","Harbin Yunshuji Y-12 II"
"1698","Hawker 800XP"
"1699","Hawker Beech 390 Premier IA"
"1700","Hawker Siddeley C-91 (HS-748-281 Sr"
"1701","Hawker Siddeley DH-125-1A"
"1702","Hawker Siddeley DH-125-3A"
"1703","Hawker Siddeley HS-121 Trident 1C"
"1704","Hawker Siddeley HS-121 Trident 1E"
"1705","Hawker Siddeley HS-121 Trident 2E"
"1706","Hawker Siddeley HS-121 Trident 3B"
"1707","Hawker Siddeley HS-125-1A"
"1708","Hawker Siddeley HS-125-1A-522"
"1709","Hawker Siddeley HS-125-1A-731"
"1710","Hawker Siddeley HS-125-3A"
"1711","Hawker Siddeley HS-125-3B"
"1712","Hawker Siddeley HS-125-400"
"1713","Hawker Siddeley HS-125-400A"
"1714","Hawker Siddeley HS-125-403B"
"1715","Hawker Siddeley HS-125-600A"
"1716","Hawker Siddeley HS-125-600B"
"1717","Hawker Siddeley HS-748"
"1718","Hawker Siddeley HS-780 Andover C.1"
"1719","HESA IrAn-140-100"
"1720","Honda HA-420 HondaJet"
"1721","Howard 250"
"1722","Howard 250 Tri-Gear"
"1723","Howard 350"
"1724","Howard 500"
"1725","Howard Cargo Harpoon"
"1726","Howard Super Ventura"
"1727","IAI 1123 Westwind"
"1728","IAI 1124 Westwind"
"1729","IAI 1124 Westwind"
"1730","IAI 1124 Westwind I"
"1731","IAI 1124A Westwind II"
"1732","IAI 1125 Astra"
"1733","IAI 1125 Astra SPX"
"1734","IAI 1126 Galaxy"
"1735","IAI Arava 102"
"1736","IAI Arava 201"
"1737","Ilyushin Il-114"
"1738","Ilyushin Il-114T"
"1739","Ilyushin Il-12"
"1740","Ilyushin Il-12B"
"1741","Ilyushin Il-12L"
"1742","Ilyushin Il-12P"
"1743","Ilyushin Il-12T"
"1744","Ilyushin Il-14"
"1745","Ilyushin Il-14D"
"1746","Ilyushin Il-14FK"
"1747","Ilyushin Il-14FKM"
"1748","Ilyushin Il-14M"
"1749","Ilyushin Il-14P"
"1750","Ilyushin Il-14T"
"1751","Ilyushin Il-18"
"1752","Ilyushin Il-18A"
"1753","Ilyushin Il-18B"
"1754","Ilyushin Il-18D"
"1755","Ilyushin Il-18D-40"
"1756","Ilyushin Il-18E"
"1757","Ilyushin Il-18Gr"
"1758","Ilyushin Il-18V"
"1759","Ilyushin Il-20"
"1760","Ilyushin Il-22M15"
"1761","Ilyushin Il-38"
"1762","Ilyushin Il-62"
"1763","Ilyushin Il-62M"
"1764","Ilyushin Il-76"
"1765","Ilyushin Il-76M"
"1766","Ilyushin Il-76MD"
"1767","Ilyushin Il-76MD Adnan-1"
"1768","Ilyushin Il-76MD Simorgh"
"1769","Ilyushin Il-76T"
"1770","Ilyushin Il-76TD"
"1771","Ilyushin Il-78"
"1772","Ilyushin Il-86"
"1773","IPTN/CASA CN-235-10"
"1774","IPTN/CASA CN-235M-100"
"1775","Junkers F.24kay (G.24)"
"1776","Junkers G.24"
"1777","Junkers G.24li"
"1778","Junkers G.31ba"
"1779","Junkers G.31go"
"1780","Junkers G.38gi/fi"
"1781","Junkers Ju-52"
"1782","Junkers Ju-52/3m"
"1783","Junkers Ju-52/3mce"
"1784","Junkers Ju-52/3mg14e"
"1785","Junkers Ju-52/3mg3e"
"1786","Junkers Ju-52/3mg4e"
"1787","Junkers Ju-52/3mg8e"
"1788","Junkers Ju-52/3mge"
"1789","Junkers Ju-52/3mho"
"1790","Junkers Ju-52/3mlu"
"1791","Junkers Ju-52/3mreo"
"1792","Junkers Ju-52/3msai"
"1793","Junkers Ju-52/3mte"
"1794","Junkers Ju-90A"
"1795","Junkers Ju-90V3"
"1796","Junkers R-42 (G.24)"
"1797","Kaiser-Frazer C-119G Flying Boxcar"
"1798","Kaiser-Frazer C-119L Flying Boxcar"
"1799","Kawasaki C-1"
"1800","Kawasaki Ki-56"
"1801","Kawasaki P-3C-II.5 Orion"
"1802","Latécoère 631"
"1803","Learjet 23"
"1804","Learjet 24"
"1805","Learjet 24A"
